date,Last
2021-01-04 05:30:00,33230.87
2021-01-04 06:00:00,32813.01
2021-01-04 06:30:00,33232.79
2021-01-04 07:00:00,33100.02
2021-01-04 07:30:00,32341.15
2021-01-04 08:00:00,32068.84
2021-01-04 08:30:00,32157.36
2021-01-04 09:00:00,32045.15
2021-01-04 09:30:00,31583.14
2021-01-04 10:00:00,31038.35
2021-01-04 10:30:00,29071.16
2021-01-04 11:00:00,30270.76
2021-01-04 11:30:00,30214.55
2021-01-04 12:00:00,30742.99
2021-01-04 12:30:00,31018.33
2021-01-04 13:00:00,31219.03
2021-01-04 13:30:00,31149.2
2021-01-04 14:00:00,31400.0
2021-01-04 14:30:00,31735.2
2021-01-04 15:00:00,32113.68
2021-01-04 15:30:00,32032.47
2021-01-04 16:00:00,31745.71
2021-01-04 16:30:00,31083.5
2021-01-04 17:00:00,31320.3
2021-01-04 17:30:00,31004.95
2021-01-04 18:00:00,31022.25
2021-01-04 18:30:00,31435.65
2021-01-04 19:00:00,31165.16
2021-01-04 19:30:00,31405.64
2021-01-04 20:00:00,31665.52
2021-01-04 20:30:00,31384.21
2021-01-04 21:00:00,31244.97
2021-01-04 21:30:00,31091.61
2021-01-04 22:00:00,31014.27
2021-01-04 22:30:00,31296.42
2021-01-04 23:00:00,31332.05
2021-01-04 23:30:00,31745.46
2021-01-05 00:00:00,31989.75
2021-01-05 00:30:00,32326.17
2021-01-05 01:00:00,32430.69
2021-01-05 01:30:00,32534.83
2021-01-05 02:00:00,32786.05
2021-01-05 02:30:00,32505.74
2021-01-05 03:00:00,32306.64
2021-01-05 03:30:00,31872.72
2021-01-05 04:00:00,31190.04
2021-01-05 04:30:00,31252.54
2021-01-05 05:00:00,30858.98
2021-01-05 05:30:00,30965.57
2021-01-05 06:00:00,30436.26
2021-01-05 06:30:00,30532.55
2021-01-05 07:00:00,31123.25
2021-01-05 07:30:00,31104.44
2021-01-05 08:00:00,30817.78
2021-01-05 08:30:00,31206.47
2021-01-05 09:00:00,31192.16
2021-01-05 09:30:00,31470.92
2021-01-05 10:00:00,31569.63
2021-01-05 10:30:00,31580.04
2021-01-05 11:00:00,31347.73
2021-01-05 11:30:00,31396.01
2021-01-05 12:00:00,31776.66
2021-01-05 12:30:00,31797.08
2021-01-05 13:00:00,31585.0
2021-01-05 13:30:00,31705.57
2021-01-05 14:00:00,31460.11
2021-01-05 14:30:00,31517.56
2021-01-05 15:00:00,32343.61
2021-01-05 15:30:00,32156.4
2021-01-05 16:00:00,32099.97
2021-01-05 16:30:00,32497.86
2021-01-05 17:00:00,32469.9
2021-01-05 17:30:00,32306.42
2021-01-05 18:00:00,32742.73
2021-01-05 18:30:00,33055.32
2021-01-05 19:00:00,33372.83
2021-01-05 19:30:00,33836.47
2021-01-05 20:00:00,33693.8
2021-01-05 20:30:00,33807.49
2021-01-05 21:00:00,33968.66
2021-01-05 21:30:00,33848.7
2021-01-05 22:00:00,33699.63
2021-01-05 22:30:00,34112.58
2021-01-05 23:00:00,34183.43
2021-01-05 23:30:00,33828.61
2021-01-06 00:00:00,33949.53
2021-01-06 00:30:00,33625.74
2021-01-06 01:00:00,33918.01
2021-01-06 01:30:00,33723.67
2021-01-06 02:00:00,33811.28
2021-01-06 02:30:00,33915.35
2021-01-06 03:00:00,33873.3
2021-01-06 03:30:00,33721.0
2021-01-06 04:00:00,34116.76
2021-01-06 04:30:00,35513.01
2021-01-06 05:00:00,35326.82
2021-01-06 05:30:00,35118.28
2021-01-06 06:00:00,34977.27
2021-01-06 06:30:00,35117.73
2021-01-06 07:00:00,35125.49
2021-01-06 07:30:00,35014.8
2021-01-06 08:00:00,34666.8
2021-01-06 08:30:00,34179.69
2021-01-06 09:00:00,34596.08
2021-01-06 09:30:00,33952.81
2021-01-06 10:00:00,33919.5
2021-01-06 10:30:00,34211.51
2021-01-06 11:00:00,34417.37
2021-01-06 11:30:00,34676.38
2021-01-06 12:00:00,34918.54
2021-01-06 12:30:00,34886.0
2021-01-06 13:00:00,34929.87
2021-01-06 13:30:00,34576.05
2021-01-06 14:00:00,34549.99
2021-01-06 14:30:00,34377.17
2021-01-06 15:00:00,34213.58
2021-01-06 15:30:00,34645.49
2021-01-06 16:00:00,34566.18
2021-01-06 16:30:00,34789.43
2021-01-06 17:00:00,34615.98
2021-01-06 17:30:00,34927.24
2021-01-06 18:00:00,34898.52
2021-01-06 18:30:00,34981.92
2021-01-06 19:00:00,35215.75
2021-01-06 19:30:00,35617.77
2021-01-06 20:00:00,34818.95
2021-01-06 20:30:00,35220.4
2021-01-06 21:00:00,36015.16
2021-01-06 21:30:00,36008.72
2021-01-06 22:00:00,35869.97
2021-01-06 22:30:00,36275.61
2021-01-06 23:00:00,35989.64
2021-01-06 23:30:00,36240.74
2021-01-07 00:00:00,36769.36
2021-01-07 00:30:00,37003.14
2021-01-07 01:00:00,37150.66
2021-01-07 01:30:00,36924.49
2021-01-07 02:00:00,36871.47
2021-01-07 02:30:00,36663.13
2021-01-07 03:00:00,36962.37
2021-01-07 03:30:00,37624.14
2021-01-07 04:00:00,37452.62
2021-01-07 04:30:00,37238.43
2021-01-07 05:00:00,37450.95
2021-01-07 05:30:00,37477.37
2021-01-07 06:00:00,37347.2
2021-01-07 06:30:00,36820.54
2021-01-07 07:00:00,37130.85
2021-01-07 07:30:00,37123.62
2021-01-07 08:00:00,36863.04
2021-01-07 08:30:00,36877.77
2021-01-07 09:00:00,37217.55
2021-01-07 09:30:00,37069.0
2021-01-07 10:00:00,37492.7
2021-01-07 10:30:00,37126.29
2021-01-07 11:00:00,37045.45
2021-01-07 11:30:00,37189.27
2021-01-07 12:00:00,37825.64
2021-01-07 12:30:00,37962.14
2021-01-07 13:00:00,37941.37
2021-01-07 13:30:00,38340.29
2021-01-07 14:00:00,38161.6
2021-01-07 14:30:00,38493.16
2021-01-07 15:00:00,38450.51
2021-01-07 15:30:00,38305.92
2021-01-07 16:00:00,38970.41
2021-01-07 16:30:00,39169.59
2021-01-07 17:00:00,39120.01
2021-01-07 17:30:00,39680.48
2021-01-07 18:00:00,39732.92
2021-01-07 18:30:00,39075.97
2021-01-07 19:00:00,38907.58
2021-01-07 19:30:00,38715.26
2021-01-07 20:00:00,39061.99
2021-01-07 20:30:00,38384.26
2021-01-07 21:00:00,39111.34
2021-01-07 21:30:00,39462.16
2021-01-07 22:00:00,39687.11
2021-01-07 22:30:00,39720.0
2021-01-07 23:00:00,39666.0
2021-01-07 23:30:00,38865.11
2021-01-08 00:00:00,39432.48
2021-01-08 00:30:00,39453.07
2021-01-08 01:00:00,38793.24
2021-01-08 01:30:00,38515.96
2021-01-08 02:00:00,38681.38
2021-01-08 02:30:00,37830.93
2021-01-08 03:00:00,37181.74
2021-01-08 03:30:00,38216.77
2021-01-08 04:00:00,38347.11
2021-01-08 04:30:00,38706.56
2021-01-08 05:00:00,38668.92
2021-01-08 05:30:00,38381.29
2021-01-08 06:00:00,37980.53
2021-01-08 06:30:00,38581.87
2021-01-08 07:00:00,38538.99
2021-01-08 07:30:00,38917.54
2021-01-08 08:00:00,38929.56
2021-01-08 08:30:00,38800.74
2021-01-08 09:00:00,38648.96
2021-01-08 09:30:00,38772.63
2021-01-08 10:00:00,39358.99
2021-01-08 10:30:00,39940.06
2021-01-08 11:00:00,40722.71
2021-01-08 11:30:00,41151.48
2021-01-08 12:00:00,41286.67
2021-01-08 12:30:00,41570.81
2021-01-08 13:00:00,41318.03
2021-01-08 13:30:00,41332.59
2021-01-08 14:00:00,41313.24
2021-01-08 14:30:00,41201.86
2021-01-08 15:00:00,41454.13
2021-01-08 15:30:00,40469.31
2021-01-08 16:00:00,40829.07
2021-01-08 16:30:00,41161.98
2021-01-08 17:00:00,41303.41
2021-01-08 17:30:00,41251.7
